UNITID,Similar School 1,Similar School 2,Similar School 3,Similar School 4,Similar School 5,Similar School 6,Similar School 7,Similar School 8,Similar School 9,Similar School 10,Similar School 11,Similar School 12,Similar School 13,Similar School 14,Similar School 15,Similar School 16,Similar School 17,Similar School 18,Similar School 19,Similar School 20,Similar School 21,Similar School 22,Similar School 23,Similar School 24,Similar School 25,Similar School 26,Similar School 27,Similar School 28,Similar School 29,Similar School 30
111391,123970,175281,193821,188535,167093,193405,167215,228194,194073,126049,15468801,15468802,20627903,20627905,20627901,20627902,203067,169628,146241,11046801,11046805,11046802,11046803,11046804,366368,215424,150215,227289,150288,176600
111948,236595,143358,122931,217235,219709,222178,212601,129428,183026,235316,110413,195003,153269,217402,122436,207458,193584,203368,206622,128744,145725,139861,19554401,199218,215655,129525,224323,192323,195234,159656
112075,154235,123651,232706,192323,147660,224323,194958,176619,110413,219383,147679,136330,148405,233541,198561,236577,179964,164562,193353,174437,211556,193584,209612,153144,238661,143358,129525,195164,133492,19554401
112084,167455,190248,237181,117104,183275,140696,231095,118693,195304,210492,164632,399911,216542,384254,179955,134510,150774,163976,123165,115409,197230,138600,199272,146481,475200,216667,214272,125763,195243,13247101
112127,233842,165705,108861,190080,176451,114840,115214,195580,120795,203067,14736901,14736902,186122,151865,154536,189981,143233,213631,227289,219240,185758,172705,150288,179317,215424,243081,124283,150215,169099,177092
112251,440031,169424,409254,20627903,20627902,20627901,20627905,231147,186122,144014,15468802,15468801,374024,189015,232186,455804,196468,139348,177092,402828,223001,14736901,14736902,164085,179894,124283,120795,177278,165495,122603
112260,164465,212911,198385,121345,197133,216287,213385,218070,168218,149781,228343,121257,216524,166018,211273,204909,146481,166939,161004,168342,168281,161086,234207,191515,153384,195526,128902,203535,165936,199865
112394,211477,451510,449481,480301,460871,363934,155636,209409,447801,437097,449870,206835,127945,420246,147129,154013,384306,196307,211468,434715,455433,167394,210331,458885,101435,130183,407629,154156,176026,231970
112525,223223,143853,193830,117636,239169,190424,423643,152080,243744,228909,110699,139658,229300,179867,145558,215123,148511,228635,198419,215062,190415,164580,166683,441982,162928,131496,12293101,147767,190150,129242
112570,222938,458982,148177,134811,142887,220808,214148,458496,209533,241331,164872,372958,210942,113582,209603,447953,439613,199272,449010,119775,239309,163295,104188,108870,214971,219505,208239,202170,366368,202046
113582,367194,197151,208239,222938,142887,458982,134811,173887,234492,148177,126702,454856,145460,127945,450094,104188,458496,402776,202170,110370,459824,366368,112570,441973,210942,207342,458229,444699,430704,447698
113698,220516,174899,197045,217688,219833,210775,176479,203775,230852,168786,217961,161165,144962,162760,199209,149028,192703,236230,213668,213321,156286,221971,164562,230807,166391,184773,226231,446932,210571,199412
113704,388520,443049,156417,476717,206154,100690,247825,198747,384421,115214,441690,451398,110060,154837,114840,441511,176451,172033,458113,260947,102261,204990,457226,190080,108861,233842,165705,169099,219240,449658
114114,366605,475732,439394,439020,130581,444699,447801,436261,447698,455178,439914,429085,383020,430704,420866,11458501,429094,454227,461883,449481,466930,460871,457129,174507,454236,466921,434441,454856,114585,441308
114549,188535,169628,151865,185758,172705,154536,213631,145275,164474,188580,188429,144740,195234,186584,166717,212018,15178601,238661,446932,112127,195720,110097,111391,260956,123970,15336601,169220,366368,213446,162760
114585,455178,441308,436261,434441,451130,218751,383020,444699,366605,447801,447698,167181,126012,401250,439020,130581,114114,439914,108269,441104,141936,177427,169220,164915,123095,446039,460738,117520,367954,220996
114813,117627,199412,219833,134945,210775,197045,156365,144281,148335,214272,16947915,164492,225399,186432,152099,157216,195544,144962,197197,11917301,230807,150163,156286,110316,192703,125897,179450,13247101,113698,439288
